0,0,0,-0,0,0
0,0,0,-1.4016e-09,1.0007e-08,6.4886e-09
0,0,0,-1.1196e-08,7.9935e-08,5.1831e-08
0,0,0,-3.773e-08,2.6938e-07,1.7467e-07
-3.9174e-07,3.9174e-07,-9.4575e-07,-8.93e-08,6.3756e-07,4.134e-07
-7.6397e-07,7.6397e-07,-1.8444e-06,-1.7415e-07,1.2434e-06,8.0621e-07
-1.3181e-06,-4.0242e-07,-3.1823e-06,-6.2911e-07,2.1453e-06,-1.4673e-08
-2.09e-06,-2.3479e-06,-5.0458e-06,-1.3241e-06,3.4015e-06,-1.4202e-06
-3.1151e-06,-5.3468e-06,-7.5205e-06,-2.3263e-06,5.0698e-06,-3.626e-06
-4.4286e-06,-9.709e-06,-1.0692e-05,-3.7098e-06,7.2076e-06,-6.8769e-06
-6.0656e-06,-1.5777e-05,-1.4644e-05,-5.5548e-06,9.8721e-06,-1.1445e-05
-8.0611e-06,-2.3923e-05,-1.9462e-05,-7.9468e-06,1.312e-05,-1.7624e-05
-1.0449e-05,-3.4544e-05,-2.5229e-05,-1.0976e-05,1.7007e-05,-2.5732e-05
-1.3265e-05,-4.8057e-05,-3.2028e-05,-1.4737e-05,2.1591e-05,-3.6101e-05
-1.6542e-05,-6.4895e-05,-3.9942e-05,-1.9326e-05,2.6926e-05,-4.9077e-05
-2.0315e-05,-8.5506e-05,-4.9052e-05,-2.4844e-05,3.3067e-05,-6.5017e-05
-2.4617e-05,-0.00011034,-5.9441e-05,-3.1391e-05,4.0071e-05,-8.4283e-05
-2.9481e-05,-0.00013986,-7.119e-05,-3.9067e-05,4.799e-05,-0.00010724
-3.494e-05,-0.00017451,-8.4378e-05,-4.7975e-05,5.6881e-05,-0.00013425
-4.1028e-05,-0.00021474,-9.9087e-05,-5.8212e-05,6.6796e-05,-0.00016567
-4.7778e-05,-0.00026099,-0.0001154,-6.9875e-05,7.779e-05,-0.00020184
-5.5221e-05,-0.00031367,-0.00013338,-8.3059e-05,8.9915e-05,-0.00024311
-6.3389e-05,-0.00037318,-0.00015313,-9.7852e-05,0.00010322,-0.00028978
-7.2315e-05,-0.0004399,-0.00017471,-0.00011434,0.00011777,-0.00034216
-8.2029e-05,-0.00051416,-0.0001982,-0.0001326,0.00013361,-0.00040052
-9.2564e-05,-0.00059629,-0.00022369,-0.00015271,0.00015078,-0.0004651
-0.00010395,-0.00068654,-0.00025124,-0.00017473,0.00016936,-0.00053613
-0.00011622,-0.00078517,-0.00028093,-0.00019872,0.00018937,-0.00061379
-0.0001294,-0.00089237,-0.00031285,-0.00022474,0.00021088,-0.00069822
-0.00014352,-0.0010083,-0.00034706,-0.00025282,0.00023394,-0.00078956
-0.00015862,-0.001133,-0.00038363,-0.00028299,0.00025859,-0.00088788
-0.00017471,-0.0012667,-0.00042265,-0.00031529,0.00028488,-0.00099322
-0.00019184,-0.0014092,-0.00046419,-0.00034972,0.00031288,-0.0011056
-0.00021003,-0.0015606,-0.00050832,-0.0003863,0.00034261,-0.0012249
-0.0002293,-0.0017208,-0.00055511,-0.00042502,0.00037415,-0.0013512
-0.00024969,-0.0018897,-0.00060464,-0.00046587,0.00040752,-0.0014843
-0.00027123,-0.002067,-0.00065698,-0.00050883,0.00044279,-0.0016241
-0.00029394,-0.0022526,-0.00071219,-0.00055387,0.00047999,-0.0017703
-0.00031784,-0.0024462,-0.00077036,-0.00060095,0.00051918,-0.0019228
-0.00034298,-0.0026476,-0.00083154,-0.00065003,0.00056041,-0.0020813
-0.00036937,-0.0028563,-0.00089582,-0.00070105,0.00060371,-0.0022455
-0.00039704,-0.003072,-0.00096326,-0.00075397,0.00064914,-0.0024151
